,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,26,5,2006,MIL
GSW,22,28,4,2006,GSW
MIN,19,27,3,2006,MIN
TOR,19,24,2,2006,TOR
ATL,22,27,3,2006,ATL
BOS,20,28,2,2006,BOS
DET,22,26,3,2006,DET
NYK,20,29,2,2006,NYK
DEN,21,28,4,2006,DEN
SAC,22,32,4,2006,SAC
POR,19,31,4,2006,POR
NJN,21,27,3,2006,NJN
MIA,16,22,2,2006,MIA
SEA,20,29,3,2006,SEA
CLE,22,22,4,2006,CLE
SAS,18,26,3,2006,SAS
CHA,22,28,3,2006,CHA
UTA,18,27,1,2006,UTA
CHI,21,24,2,2006,CHI
HOU,18,22,2,2006,HOU
WAS,22,25,4,2006,WAS
LAL,17,26,1,2006,LAL
PHI,22,28,4,2006,PHI
NOK,23,25,5,2006,NOK
MEM,22,22,3,2006,MEM
LAC,21,29,4,2006,LAC
DAL,16,22,1,2006,DAL
ORL,21,28,3,2006,ORL
PHX,20,27,3,2006,PHX
IND,22,22,3,2006,IND
