,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,28,5,2011,MIL
GSW,19,31,8,2011,GSW
MIN,20,28,4,2011,MIN
MIA,20,31,6,2011,MIA
ATL,19,27,9,2011,ATL
BOS,21,32,7,2011,BOS
DET,22,29,9,2011,DET
NYK,21,28,5,2011,NYK
DEN,18,25,7,2011,DEN
SAC,17,28,6,2011,SAC
POR,20,29,6,2011,POR
NJN,20,29,8,2011,NJN
TOR,20,32,7,2011,TOR
CLE,22,25,8,2011,CLE
SAS,21,32,11,2011,SAS
CHA,23,34,14,2011,CHA
UTA,22,32,6,2011,UTA
CHI,19,26,9,2011,CHI
HOU,23,30,6,2011,HOU
WAS,20,26,7,2011,WAS
LAL,19,30,5,2011,LAL
PHI,20,25,5,2011,PHI
NOH,18,28,4,2011,NOH
MEM,20,34,12,2011,MEM
ORL,21,26,5,2011,ORL
LAC,20,29,9,2011,LAC
DAL,22,31,8,2011,DAL
OKC,20,27,6,2011,OKC
PHX,21,30,6,2011,PHX
IND,23,32,10,2011,IND
