,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,24,4,2005,MIL
GSW,20,30,4,2005,GSW
MIN,17,29,2,2005,MIN
MIA,16,26,3,2005,MIA
ATL,21,27,3,2005,ATL
BOS,18,30,3,2005,BOS
DET,22,29,3,2005,DET
NYK,17,29,3,2005,NYK
DEN,16,20,1,2005,DEN
DAL,19,20,3,2005,DAL
POR,18,29,1,2005,POR
NJN,20,25,1,2005,NJN
TOR,19,31,2,2005,TOR
SEA,17,22,1,2005,SEA
CLE,21,24,3,2005,CLE
SAS,16,20,2,2005,SAS
CHA,21,24,4,2005,CHA
UTA,21,23,2,2005,UTA
CHI,22,21,3,2005,CHI
HOU,19,29,2,2005,HOU
WAS,19,22,2,2005,WAS
LAL,19,29,3,2005,LAL
PHI,19,23,4,2005,PHI
NOK,19,26,4,2005,NOK
MEM,21,25,4,2005,MEM
LAC,19,24,1,2005,LAC
SAC,18,26,3,2005,SAC
ORL,21,28,4,2005,ORL
PHX,19,28,4,2005,PHX
IND,21,30,2,2005,IND
