,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,21,4,2012,MIL
GSW,20,30,4,2012,GSW
MIN,22,32,4,2012,MIN
MIA,16,25,3,2012,MIA
ATL,22,31,3,2012,ATL
BOS,22,24,1,2012,BOS
DET,19,28,3,2012,DET
NYK,19,30,3,2012,NYK
DEN,17,21,3,2012,DEN
SAC,17,27,2,2012,SAC
BKN,23,30,3,2012,BKN
POR,17,24,2,2012,POR
ORL,13,22,1,2012,ORL
TOR,18,25,2,2012,TOR
CHI,19,23,2,2012,CHI
SAS,17,29,3,2012,SAS
CHA,22,27,3,2012,CHA
UTA,17,25,0,2012,UTA
CLE,22,27,4,2012,CLE
HOU,21,28,3,2012,HOU
WAS,21,25,4,2012,WAS
LAL,16,26,1,2012,LAL
PHI,22,25,2,2012,PHI
NOH,19,25,2,2012,NOH
MEM,18,24,1,2012,MEM
LAC,21,29,4,2012,LAC
DAL,16,23,1,2012,DAL
OKC,15,24,2,2012,OKC
PHX,19,27,2,2012,PHX
IND,23,27,4,2012,IND
