,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,20,23,5,2004,MIL
GSW,20,32,4,2004,GSW
MIN,21,29,3,2004,MIN
TOR,17,25,4,2004,TOR
ATL,23,23,4,2004,ATL
BOS,20,27,1,2004,BOS
DET,21,26,4,2004,DET
NYK,21,25,4,2004,NYK
DEN,20,23,5,2004,DEN
SAC,17,23,3,2004,SAC
POR,20,26,2,2004,POR
NJN,20,17,2,2004,NJN
MIA,16,20,1,2004,MIA
SEA,19,28,1,2004,SEA
CLE,20,25,2,2004,CLE
SAS,19,26,4,2004,SAS
CHA,23,26,2,2004,CHA
UTA,21,28,3,2004,UTA
CHI,22,31,4,2004,CHI
HOU,16,23,3,2004,HOU
WAS,23,29,5,2004,WAS
LAL,19,29,4,2004,LAL
PHI,19,27,3,2004,PHI
NOH,23,29,1,2004,NOH
MEM,23,27,3,2004,MEM
LAC,22,27,2,2004,LAC
DAL,18,23,1,2004,DAL
ORL,21,26,2,2004,ORL
PHX,22,28,4,2004,PHX
IND,23,29,4,2004,IND
