,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,23,28,5,2010,MIL
GSW,18,26,1,2010,GSW
MIN,19,25,3,2010,MIN
TOR,19,26,1,2010,TOR
ATL,23,25,2,2010,ATL
BOS,19,26,1,2010,BOS
DET,21,28,2,2010,DET
NYK,21,31,3,2010,NYK
DEN,19,29,3,2010,DEN
SAC,18,25,3,2010,SAC
OKC,17,23,1,2010,OKC
POR,22,31,2,2010,POR
NJN,22,28,2,2010,NJN
MIA,19,25,1,2010,MIA
CLE,22,24,4,2010,CLE
SAS,18,23,1,2010,SAS
CHA,22,30,4,2010,CHA
UTA,19,27,2,2010,UTA
CHI,23,25,3,2010,CHI
HOU,21,25,1,2010,HOU
WAS,21,25,4,2010,WAS
LAL,15,24,1,2010,LAL
PHI,22,25,4,2010,PHI
NOH,18,27,1,2010,NOH
MEM,21,25,2,2010,MEM
LAC,22,29,3,2010,LAC
DAL,20,27,3,2010,DAL
ORL,19,26,1,2010,ORL
PHX,16,26,1,2010,PHX
IND,21,26,3,2010,IND
