,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,23,26,4,2002,MIL
GSW,20,27,2,2002,GSW
MIN,20,27,2,2002,MIN
TOR,18,29,3,2002,TOR
ATL,23,26,5,2002,ATL
BOS,19,26,2,2002,BOS
DET,24,35,5,2002,DET
NYK,19,26,4,2002,NYK
DEN,24,28,5,2002,DEN
SAC,19,29,4,2002,SAC
POR,23,29,5,2002,POR
NJN,20,26,2,2002,NJN
MIA,20,24,3,2002,MIA
SEA,20,30,5,2002,SEA
CHI,23,24,5,2002,CHI
SAS,18,24,3,2002,SAS
UTA,19,24,3,2002,UTA
CLE,24,29,5,2002,CLE
HOU,21,28,4,2002,HOU
WAS,21,25,4,2002,WAS
LAL,19,26,1,2002,LAL
PHI,20,30,2,2002,PHI
NOH,22,33,5,2002,NOH
MEM,20,31,4,2002,MEM
LAC,19,25,3,2002,LAC
DAL,16,19,2,2002,DAL
ORL,19,27,4,2002,ORL
PHX,20,31,3,2002,PHX
IND,23,27,3,2002,IND
