,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,27,4,2008,MIL
GSW,15,24,3,2008,GSW
MIN,22,22,1,2008,MIN
TOR,17,27,2,2008,TOR
ATL,22,23,3,2008,ATL
BOS,17,23,1,2008,BOS
DET,16,19,3,2008,DET
NYK,18,24,3,2008,NYK
DEN,21,28,4,2008,DEN
SAC,22,32,4,2008,SAC
OKC,18,22,4,2008,OKC
POR,16,22,3,2008,POR
NJN,22,26,1,2008,NJN
MIA,19,22,1,2008,MIA
CLE,19,24,3,2008,CLE
SAS,18,25,1,2008,SAS
CHA,21,23,2,2008,CHA
UTA,21,24,4,2008,UTA
CHI,22,24,2,2008,CHI
HOU,20,24,3,2008,HOU
WAS,18,24,4,2008,WAS
LAL,19,29,1,2008,LAL
PHI,21,28,2,2008,PHI
NOH,19,27,1,2008,NOH
MEM,22,25,1,2008,MEM
LAC,21,31,3,2008,LAC
DAL,16,24,1,2008,DAL
ORL,16,20,2,2008,ORL
PHX,19,26,3,2008,PHX
IND,21,26,2,2008,IND
