,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,21,28,4,2007,MIL
GSW,20,29,4,2007,GSW
MIN,21,26,3,2007,MIN
TOR,20,31,3,2007,TOR
ATL,22,25,2,2007,ATL
BOS,19,26,3,2007,BOS
DET,20,28,3,2007,DET
NYK,20,29,3,2007,NYK
DEN,20,25,3,2007,DEN
SAC,20,23,1,2007,SAC
POR,21,28,4,2007,POR
NJN,22,24,3,2007,NJN
MIA,21,30,4,2007,MIA
SEA,15,27,2,2007,SEA
CLE,21,27,2,2007,CLE
SAS,18,28,2,2007,SAS
CHA,22,29,3,2007,CHA
UTA,21,27,3,2007,UTA
CHI,20,29,4,2007,CHI
HOU,18,27,3,2007,HOU
WAS,20,27,3,2007,WAS
LAL,17,27,1,2007,LAL
PHI,22,28,2,2007,PHI
NOH,19,28,1,2007,NOH
MEM,21,18,1,2007,MEM
LAC,20,29,1,2007,LAC
DAL,17,24,3,2007,DAL
ORL,20,23,2,2007,ORL
PHX,17,24,3,2007,PHX
IND,22,23,2,2007,IND
