,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,21,26,4,1997,MIL
GSW,20,23,2,1997,GSW
MIN,21,23,2,1997,MIN
MIA,19,17,2,1997,MIA
ATL,21,29,5,1997,ATL
BOS,18,24,3,1997,BOS
DET,17,25,4,1997,DET
NYK,19,27,3,1997,NYK
DEN,20,23,5,1997,DEN
SAC,17,25,3,1997,SAC
POR,20,28,3,1997,POR
NJN,21,22,2,1997,NJN
TOR,15,20,1,1997,TOR
SEA,17,24,2,1997,SEA
CLE,20,20,1,1997,CLE
SAS,16,18,0,1997,SAS
UTA,19,21,3,1997,UTA
VAN,21,26,3,1997,VAN
CHH,20,24,2,1997,CHH
CHI,19,22,4,1997,CHI
HOU,16,25,3,1997,HOU
WAS,21,24,4,1997,WAS
LAL,18,27,2,1997,LAL
PHI,21,31,2,1997,PHI
LAC,21,26,3,1997,LAC
DAL,18,16,0,1997,DAL
ORL,21,26,3,1997,ORL
PHX,17,22,2,1997,PHX
IND,20,24,2,1997,IND
