,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,19,26,2,1999,MIL
GSW,20,27,2,1999,GSW
MIN,18,24,1,1999,MIN
MIA,18,22,3,1999,MIA
ATL,24,25,5,1999,ATL
BOS,22,24,2,1999,BOS
DET,20,27,5,1999,DET
NYK,20,24,3,1999,NYK
DEN,21,23,2,1999,DEN
SAC,18,26,1,1999,SAC
POR,22,25,5,1999,POR
NJN,20,26,4,1999,NJN
TOR,18,28,2,1999,TOR
SEA,21,26,4,1999,SEA
CHI,24,27,4,1999,CHI
SAS,18,21,2,1999,SAS
UTA,19,28,4,1999,UTA
VAN,19,27,5,1999,VAN
CHH,22,32,5,1999,CHH
CLE,24,23,5,1999,CLE
HOU,17,23,2,1999,HOU
WAS,22,23,7,1999,WAS
LAL,22,27,4,1999,LAL
PHI,20,31,5,1999,PHI
LAC,22,23,5,1999,LAC
DAL,18,23,2,1999,DAL
ORL,22,33,2,1999,ORL
PHX,20,24,4,1999,PHX
IND,21,29,4,1999,IND
