,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,20,26,3,2001,MIL
GSW,23,31,6,2001,GSW
MIN,19,19,2,2001,MIN
TOR,19,24,2,2001,TOR
ATL,22,25,4,2001,ATL
BOS,20,27,3,2001,BOS
DET,23,29,5,2001,DET
NYK,17,24,1,2001,NYK
DEN,20,28,4,2001,DEN
SAC,22,31,6,2001,SAC
POR,23,29,5,2001,POR
NJN,20,27,4,2001,NJN
MIA,22,26,4,2001,MIA
SEA,22,27,3,2001,SEA
CHI,23,26,5,2001,CHI
SAS,21,25,2,2001,SAS
UTA,21,25,3,2001,UTA
CHH,19,22,3,2001,CHH
CLE,23,23,5,2001,CLE
HOU,19,27,4,2001,HOU
WAS,20,25,4,2001,WAS
LAL,19,29,1,2001,LAL
PHI,21,27,5,2001,PHI
MEM,16,23,5,2001,MEM
LAC,21,27,3,2001,LAC
DAL,19,26,2,2001,DAL
ORL,21,30,5,2001,ORL
PHX,19,23,2,2001,PHX
IND,23,27,5,2001,IND
