,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,20,23,4,2003,MIL
GSW,22,27,4,2003,GSW
MIN,20,23,2,2003,MIN
MIA,23,26,3,2003,MIA
ATL,21,19,4,2003,ATL
BOS,17,28,1,2003,BOS
DET,23,29,5,2003,DET
NYK,20,21,2,2003,NYK
DEN,23,30,4,2003,DEN
SAC,19,30,3,2003,SAC
POR,17,23,4,2003,POR
NJN,20,25,3,2003,NJN
TOR,16,22,0,2003,TOR
SEA,23,30,5,2003,SEA
CHI,22,25,4,2003,CHI
SAS,19,24,1,2003,SAS
UTA,20,22,0,2003,UTA
CLE,20,25,4,2003,CLE
HOU,19,27,4,2003,HOU
WAS,21,25,4,2003,WAS
LAL,19,27,3,2003,LAL
PHI,19,20,1,2003,PHI
NOH,22,21,1,2003,NOH
MEM,21,25,3,2003,MEM
LAC,23,27,5,2003,LAC
DAL,19,22,2,2003,DAL
ORL,20,21,2,2003,ORL
PHX,21,28,5,2003,PHX
IND,22,25,5,2003,IND
